,tahun,jenis_api,Nilai Produksi,Jumlah Hari,Tanggal Berangkat,Tanggal Kedatangan,nama_ikan_id,berat
446,2018,Jaring insang berlapis,440000,2,2018-01-04T00:00:00.000,2018-01-05T00:00:00.000,Kembung Perempuan [RAB],22
687,2018,Jaring insang berlapis,440000,2,2018-01-06T00:00:00.000,2018-01-07T00:00:00.000,Kembung Perempuan [RAB],22
792,2018,Jaring insang berlapis,560000,2,2018-01-07T00:00:00.000,2018-01-08T00:00:00.000,Kembung Perempuan [RAB],28
921,2018,Jaring insang berlapis,600000,2,2018-01-08T00:00:00.000,2018-01-09T00:00:00.000,Kembung Perempuan [RAB],30
1019,2018,Jaring insang berlapis,460000,2,2018-01-09T00:00:00.000,2018-01-10T00:00:00.000,Kembung Perempuan [RAB],23
1157,2018,Jaring insang berlapis,480000,2,2018-01-10T00:00:00.000,2018-01-11T00:00:00.000,Kembung Perempuan [RAB],24
1244,2018,Jaring insang berlapis,380000,2,2018-01-11T00:00:00.000,2018-01-12T00:00:00.000,Kembung Perempuan [RAB],19
1259,2018,Bagan perahu,1368000,3,2018-01-10T00:00:00.000,2018-01-12T00:00:00.000,Kembung Perempuan [RAB],76
1309,2018,Bagan perahu,320000,3,2018-01-11T00:00:00.000,2018-01-13T00:00:00.000,Kembung Perempuan [RAB],32
1314,2018,Bagan perahu,420000,3,2018-01-11T00:00:00.000,2018-01-13T00:00:00.000,Kembung Perempuan [RAB],42
1318,2018,Bagan perahu,705000,3,2018-01-11T00:00:00.000,2018-01-13T00:00:00.000,Kembung Perempuan [RAB],47
1321,2018,Jaring insang berlapis,1220000,2,2018-01-12T00:00:00.000,2018-01-13T00:00:00.000,Kembung Perempuan [RAB],61
1379,2018,Jaring insang berlapis,720000,2,2018-01-13T00:00:00.000,2018-01-14T00:00:00.000,Kembung Perempuan [RAB],36
1402,2018,Bagan perahu,620000,2,2018-01-13T00:00:00.000,2018-01-14T00:00:00.000,Kembung Perempuan [RAB],62
1569,2018,Jaring insang berlapis,700000,2,2018-01-14T00:00:00.000,2018-01-15T00:00:00.000,Kembung Perempuan [RAB],35
1721,2018,Jaring insang berlapis,480000,2,2018-01-15T00:00:00.000,2018-01-16T00:00:00.000,Kembung Perempuan [RAB],24
1744,2018,Bagan perahu,780000,3,2018-01-14T00:00:00.000,2018-01-16T00:00:00.000,Kembung Perempuan [RAB],78
1746,2018,Bagan perahu,860000,3,2018-01-14T00:00:00.000,2018-01-16T00:00:00.000,Kembung Perempuan [RAB],86
1754,2018,Bagan perahu,1210000,3,2018-01-14T00:00:00.000,2018-01-16T00:00:00.000,Kembung Perempuan [RAB],121
1759,2018,Bagan perahu,1400000,3,2018-01-14T00:00:00.000,2018-01-16T00:00:00.000,Kembung Perempuan [RAB],140
1891,2018,Jaring insang berlapis,480000,2,2018-01-16T00:00:00.000,2018-01-17T00:00:00.000,Kembung Perempuan [RAB],24
2066,2018,Jaring insang berlapis,840000,2,2018-01-17T00:00:00.000,2018-01-18T00:00:00.000,Kembung Perempuan [RAB],30
2081,2018,Bagan perahu,1992000,3,2018-01-16T00:00:00.000,2018-01-18T00:00:00.000,Kembung Perempuan [RAB],166
2082,2018,Bagan perahu,2088000,3,2018-01-16T00:00:00.000,2018-01-18T00:00:00.000,Kembung Perempuan [RAB],174
2158,2018,Jaring insang berlapis,1792000,2,2018-01-18T00:00:00.000,2018-01-19T00:00:00.000,Kembung Perempuan [RAB],64
2172,2018,Bagan perahu,1924000,3,2018-01-17T00:00:00.000,2018-01-19T00:00:00.000,Kembung Perempuan [RAB],148
2181,2018,Bagan perahu,2834000,3,2018-01-17T00:00:00.000,2018-01-19T00:00:00.000,Kembung Perempuan [RAB],218
2287,2018,Jaring insang berlapis,1540000,2,2018-01-19T00:00:00.000,2018-01-20T00:00:00.000,Kembung Perempuan [RAB],55
2290,2018,Bagan perahu,936000,2,2018-01-19T00:00:00.000,2018-01-20T00:00:00.000,Kembung Perempuan [RAB],72
2387,2018,Jaring insang berlapis,925000,2,2018-01-20T00:00:00.000,2018-01-21T00:00:00.000,Kembung Perempuan [RAB],37
2390,2018,Bagan perahu,663000,2,2018-01-20T00:00:00.000,2018-01-21T00:00:00.000,Kembung Perempuan [RAB],51
2397,2018,Bagan perahu,1092000,3,2018-01-19T00:00:00.000,2018-01-21T00:00:00.000,Kembung Perempuan [RAB],84
2495,2018,Jaring insang berlapis,728000,2,2018-01-21T00:00:00.000,2018-01-22T00:00:00.000,Kembung Perempuan [RAB],26
2506,2018,Bagan perahu,572000,2,2018-01-21T00:00:00.000,2018-01-22T00:00:00.000,Kembung Perempuan [RAB],44
2517,2018,Bagan perahu,1066000,3,2018-01-20T00:00:00.000,2018-01-22T00:00:00.000,Kembung Perempuan [RAB],82
2519,2018,Bagan perahu,1248000,2,2018-01-21T00:00:00.000,2018-01-22T00:00:00.000,Kembung Perempuan [RAB],96
2621,2018,Jaring insang berlapis,812000,2,2018-01-22T00:00:00.000,2018-01-23T00:00:00.000,Kembung Perempuan [RAB],29
2738,2018,Jaring insang berlapis,728000,2,2018-01-23T00:00:00.000,2018-01-24T00:00:00.000,Kembung Perempuan [RAB],26
2739,2018,Bagan perahu,594000,3,2018-01-22T00:00:00.000,2018-01-24T00:00:00.000,Kembung Perempuan [RAB],33
2854,2018,Jaring insang berlapis,588000,2,2018-01-24T00:00:00.000,2018-01-25T00:00:00.000,Kembung Perempuan [RAB],21
3152,2018,Jaring insang berlapis,784000,2,2018-01-26T00:00:00.000,2018-01-27T00:00:00.000,Kembung Perempuan [RAB],28
